City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Ardakan,IR,2021-02-06 19:10:34,32.31,54.0175,286.15,35,0,4.12
99,Pekalongan,ID,2021-02-06 19:10:35,-6.8886,109.6753,298.59,83,54,3.03
100,Souillac,MU,2021-02-06 19:10:35,-20.5167,57.5167,299.15,83,20,1.54
101,Eyl,SO,2021-02-06 19:10:01,7.9803,49.8164,297.59,82,2,6.37
102,Elban,RU,2021-02-06 19:10:35,50.1018,136.5094,251.32,90,100,0.81
103,Maningrida,AU,2021-02-06 19:10:35,-12.0667,134.2667,298.33,84,100,4.74
104,Mount Gambier,AU,2021-02-06 19:10:35,-37.8333,140.7667,286.15,88,90,4.63
105,San Vicente,AR,2021-02-06 19:08:15,-26.6167,-54.1333,300.46,33,0,2.71
106,North Platte,US,2021-02-06 19:10:36,41.1239,-100.7654,261.15,72,90,3.6
107,Grindavik,IS,2021-02-06 19:10:36,63.8424,-22.4338,275.15,64,40,8.23
108,Pevek,RU,2021-02-06 19:10:36,69.7008,170.3133,254.55,87,100,1.73
109,Beloha,MG,2021-02-06 19:07:10,-25.1667,45.05,298.23,84,0,2.42
110,Kuznechikha,RU,2021-02-06 19:10:37,57.2161,42.3348,252.67,90,100,4.69
111,Villa Carlos Paz,AR,2021-02-06 19:10:18,-31.4241,-64.4978,304.82,48,0,4.92
112,Zastron,ZA,2021-02-06 19:10:37,-30.3023,27.084,291.67,72,42,3.97
113,Kailua,US,2021-02-06 19:10:37,21.4022,-157.7394,295.15,68,20,1.54
114,Villanueva De Cordoba,ES,2021-02-06 19:10:37,38.3228,-4.6287,285.15,76,75,4.12
115,Itarema,BR,2021-02-06 19:10:37,-2.9248,-39.9167,302.68,62,57,6.98
116,Saskylakh,RU,2021-02-06 19:10:37,71.9167,114.0833,236.07,81,97,2.67
117,Lagoa,PT,2021-02-06 19:10:37,39.05,-27.9833,288.7,88,100,10.36
118,Kutum,SD,2021-02-06 19:10:37,14.2,24.6667,286.72,34,0,4.91
119,Kota Kinabalu,MY,2021-02-06 19:10:37,5.9749,116.0724,297.15,94,20,1.54
120,Sao Filipe,CV,2021-02-06 19:09:53,14.8961,-24.4956,294.47,74,100,6.65
121,Tasiilaq,GL,2021-02-06 19:10:38,65.6145,-37.6368,273.15,74,75,20.06
122,Robertsport,LR,2021-02-06 19:10:38,6.7533,-11.3686,300.45,76,100,5.43
123,Constitucion,CL,2021-02-06 19:10:38,-35.3333,-72.4167,291.64,72,35,2.9
124,Katsuura,JP,2021-02-06 19:10:38,35.1333,140.3,279.15,65,0,3.09
125,Carnarvon,AU,2021-02-06 19:10:38,-24.8667,113.6333,300.15,100,40,5.14
126,Mount Isa,AU,2021-02-06 19:10:38,-20.7333,139.5,297.15,94,90,2.06
127,Hilo,US,2021-02-06 19:10:38,19.7297,-155.09,295.15,53,1,1.54
128,Meulaboh,ID,2021-02-06 19:10:38,4.1363,96.1285,298.35,87,82,1.45
129,San Cristobal,VE,2021-02-06 19:09:43,7.7669,-72.225,305.15,51,40,4.12
130,Cunha,BR,2021-02-06 19:10:39,-23.0744,-44.9597,299.15,65,75,3.09
131,Ust-Maya,RU,2021-02-06 19:10:39,60.4167,134.5333,240.68,85,100,0.46
132,Maarianhamina,AX,2021-02-06 19:10:39,60.0973,19.9348,264.15,92,100,2.57
133,Kavieng,PG,2021-02-06 19:10:39,-2.5744,150.7967,300.72,71,53,1.2
134,Muroto,JP,2021-02-06 19:10:39,33.2833,134.15,284.75,68,0,2.08
135,Kenai,US,2021-02-06 19:10:09,60.5544,-151.2583,263.15,92,90,4.12
136,Galle,LK,2021-02-06 19:08:11,6.0367,80.217,298.01,84,99,2.18
137,Gaoua,BF,2021-02-06 19:10:39,10.2992,-3.2508,304.11,15,95,1.9
138,Bethel,US,2021-02-06 19:10:39,41.3712,-73.414,278.15,33,40,5.14
139,Richards Bay,ZA,2021-02-06 19:10:39,-28.783,32.0377,296.68,83,98,2.88
140,Paris,FR,2021-02-06 19:07:07,48.8534,2.3488,281.48,93,75,3.6
141,Port Augusta,AU,2021-02-06 19:10:40,-32.5,137.7667,291.15,82,40,4.12
142,Sao Gabriel Da Cachoeira,BR,2021-02-06 19:10:40,-0.1303,-67.0892,303.15,74,40,2.06
143,Penzance,GB,2021-02-06 19:10:40,50.1186,-5.5371,278.15,81,84,6.69
144,Asfi,MA,2021-02-06 19:10:11,32.2994,-9.2372,287.06,72,98,5.73
145,Kruisfontein,ZA,2021-02-06 19:10:40,-34.0033,24.7314,293.15,85,0,1.34
146,Nixa,US,2021-02-06 19:08:19,37.0434,-93.2944,278.71,64,100,1.34
147,Qaanaaq,GL,2021-02-06 19:10:40,77.484,-69.3632,262.35,87,100,3.87
148,Puerto Ayora,EC,2021-02-06 19:10:41,-0.7393,-90.3518,301.15,69,75,9.26
149,Stokmarknes,NO,2021-02-06 19:10:41,68.5646,14.9108,271.48,67,63,6.95
150,Narasannapeta,IN,2021-02-06 19:10:41,18.4167,84.05,292.83,70,0,1.76
151,Mar Del Plata,AR,2021-02-06 19:09:11,-38.0023,-57.5575,294.15,64,75,7.2
152,Sangar,RU,2021-02-06 19:10:41,63.9242,127.4739,232.25,78,64,2.09
153,Namibe,AO,2021-02-06 19:10:41,-15.1961,12.1522,295.45,80,57,4.7
154,Santa Rosalia,MX,2021-02-06 19:10:41,27.3167,-112.2833,293.72,24,0,4.12
155,Nanortalik,GL,2021-02-06 19:10:41,60.1432,-45.2371,267.94,78,0,2.2
156,Podgorica,ME,2021-02-06 19:10:41,42.4411,19.2636,283.15,87,0,3.09
157,Ouallam,NE,2021-02-06 19:10:41,14.3188,2.0866,300.41,16,23,3.7
158,Harlingen,US,2021-02-06 19:06:31,26.1906,-97.6961,293.15,88,90,4.12
159,Touros,BR,2021-02-06 19:10:42,-5.1989,-35.4608,304.15,51,40,5.14
